attore,stato,leva,dominio,dove_persiste,cosa_cambia,dove_ui,se_la_togliamo
admin,viva,Aggiungi un cibo al Catalogo menù,superfici_admin,"nuova riga in public.nutrition_menu_foods (canonical_key PK, fdc_id, label_it, serving_basis, pool_keys[], rotation_key, carb_family, is_meat/is_fish/is_animal_",Aggiunge davvero un alimento all'insieme da cui il V2 pesca per gli slot indicati. E' il modo canonico di arricchire il menù senza deploy.,"/admin/alimenti, «Catalogo menù» -> dialog «Aggiungi» — apps/web/components/admin/foods/AdminMenuFoodAddDialog.tsx:156-157 (POST); la ricerca del cibo di parten","E' l'unica leva admin viva sulla scelta dei cibi. Senza la UI resta la tabella, curabile solo via SQL. Se la TABELLA si svuotasse, loadMenuFoodPools torna null (menu-food-catalog-db.ts:147-150) e il motore ricade sull'allowlist hardcoded STAPLE_ALLOWLIST_BY_POOL (fdc-staple-registry.ts:227), molto p"
admin,viva,CRON_SECRET — abilita il cron di ripianificazione settimanale della nutrizione,superfici_admin,process.env,"Senza il segreto corretto la chiamata viene rifiutata (401) e la ripianificazione settimanale automatica non parte. Con esso, ogni MARTEDI' il sistema rigenera e persiste i piani della settimana successiva per gli atleti con diritto d'uso, senza intervento umano.",nessuna UI — variabile d'ambiente su Vercel,"La ripianificazione settimanale automatica smetterebbe di girare (o girerebbe senza autenticazione, a seconda di come si toglie). NB: questo cron e' anche il secondo consumatore vivo del Catalogo menù."
admin,viva,Catalogo alimenti del menù (nutrition_menu_foods),schema_db,"nutrition_menu_foods (canonical_key, fdc_id, label_it, serving_basis, pool_keys, rotation_key, carb_family, is_meat, is_fish, is_animal_product, sort_priority d","È la fonte primaria dei pool staple del motore V2: quali cibi possono entrare nel piano, in che ordine di priorità e con che chiave di rotazione settimanale.",pannello admin alimenti (/admin/alimenti),Si rompe la varietà del piano (si torna all'allowlist hardcoded). Non è una manopola dell'atleta o del coach: è la dispensa. Da tenere.
admin,viva,"Catalogo menu curato (nutrition_menu_foods, pannello /admin/alimenti)",leve_morte,"public.nutrition_menu_foods - 503 righe, 492 attive (is_active)","E la fonte primaria dei pool staple del composer: aggiungere/disattivare una riga cambia davvero quali cibi possono comparire nel piano, senza deploy.",pagina /admin/alimenti (pannello alimenti),"Il piano ricade sull'allowlist hardcoded, molto piu povera. Questa e la leva admin VIVA - l'unica del pannello admin che conti - da non confondere con nutrition_engine_config, che e nello stesso mondo ma morta."
admin,viva,Diritto d'uso dell'atleta (grants/abbonamento) — decide CHI riceve la ripianificazione automatica,superfici_admin,"public.subscription_grants (+ billing_subscriptions), risolti in entitlement",Un atleta senza entitlement viene SALTATO dal cron di ripianificazione settimanale: il suo piano nutrizionale non viene mai rigenerato automaticamente. E' una leva admin nutrizionale che non vive nel pannello Alimenti.,/admin/abbonamenti (+ /api/admin/grants) — assegna/revoca i subscription_grants,Non e' rimovibile senza ridefinire chi ha diritto ai servizi automatici; ma va sapputo che toccando gli abbonamenti si accende/spegne anche la nutrizione automatica.
admin,viva,Elimina un cibo dal Catalogo menù,superfici_admin,DELETE della riga in public.nutrition_menu_foods,"Il cibo sparisce dai pool del motore; i piani gia' persistiti restano invariati (DELETE non tocca meal_item), ma il cibo non verra' piu' scelto.","/admin/alimenti, «Catalogo menù», cestino con conferma — AdminMenuCatalogSection.tsx:196-197","Resta is_active, che ottiene lo stesso risultato in modo reversibile. Questa e' la leva piu' sacrificabile del catalogo."
admin,viva,Esclusioni di sessione + «Mostra tutte le voci» / «Azzera esclusioni sessione»,superfici_coach,NIENTE — stato React coachSessionFoodExclusions (NutritionPageView.tsx:502),Le etichette accumulate si uniscono a food_exclusions nella COSTRUZIONE della request: alla rigenerazione il motore le tratta come deny testuale. Sopravvive solo finche' la pagina resta aperta.,apps/web/modules/nutrition/views/NutritionMealPlanView.tsx:368-388 — banner «Modifiche coach: N voci nascoste» coi due bottoni di reset,Sparisce insieme a «Togli». Nessun dato persistito.
admin,viva,Gate di accesso admin (app_user_profiles.is_platform_admin),superfici_admin,public.app_user_profiles.is_platform_admin (boolean),"Decide CHI puo' azionare tutte le leve di questo dominio. Non cambia il piano di nessuno, ma controlla chi puo' cambiarlo per tutti.",nessuna UI: il flag NON e' esposto nemmeno dal pannello che imposta i ruoli (app/api/admin/users/[userId]/app-profile/route.ts dichiara di non esporlo — «solo S,Non e' rimovibile: e' la sicurezza dell'area admin.
admin,viva,"Immagine dell'alimento (upload, scelta dal bucket, URL libero)",superfici_admin,"public.fdc_food.image_url; file nel bucket storage `food-images` (root, fdc/, library/)",E' la fotografia che l'atleta vede accanto al cibo NEL PIANO (pagina Nutrizione). Non tocca in alcun modo la scelta del cibo o i grammi.,"/admin/alimenti, dialog «Modifica alimento», sezione «Immagine»: upload (AdminFoodEditDialog.tsx:159 fetch, :165 set), select dal bucket (:348-352), URL libero ",Le card del Piano tornerebbero all'icona lucide deterministica (fallback gia' previsto). Nessun impatto sul piano.
admin,viva,NEXT_PUBLIC_MEAL_PLAN_V2 / MEAL_PLAN_V2 — pannello «Anteprima V2» nella pagina Nutrizione,superfici_admin,process.env (esposta al browser dal prefisso NEXT_PUBLIC),Mostra o nasconde un pannello di anteprima/debug V2 dentro la pagina Nutrizione dell'ATLETA. Non cambia il piano vero: chiama una route dichiarata @deprecated che non persiste nulla.,nessuna UI di configurazione — variabile d'ambiente (.env.example:404). L'effetto si vede in Nutrizione: apps/web/modules/nutrition/views/NutritionPageView.tsx:,Sparisce un pannello di debug dalla pagina dell'atleta — probabilmente desiderabile. Con esso si puo' ritirare anche la route @deprecated /api/nutrition/intelligent-meal-plan-v2.
admin,viva,SUPABASE_SERVICE_ROLE_KEY — prerequisito di TUTTE le superfici admin,superfici_admin,process.env (server),"Senza di essa nessuna route /api/admin puo' leggere o scrivere: catalogo menù, parametri motore e gestione alimenti diventano inagibili. Il motore continua a generare piani (l'Edge Function ha la propria service key).",nessuna UI; la sua assenza si manifesta come errore 503 «Manca SUPABASE_SERVICE_ROLE_KEY» in ogni sezione di /admin/alimenti,Non e' rimovibile senza riprogettare l'accesso admin.
admin,viva,Vista atleta in scope admin — l'admin aziona le leve degli altri due domini per chiunque,superfici_admin,"nessuna colonna propria: scrive esattamente dove scriverebbero l'atleta e il coach (athlete_profiles.nutrition_config, routine_config, ecc.)","E' la leva piu' potente del dominio: l'admin vede e modifica la pagina Nutrizione di QUALSIASI atleta come se fosse lui, e puo' generare/rigenerare il suo piano.",/admin/utenti/[userId]/nutrition — apps/web/app/admin/utenti/[userId]/[module]/page.tsx:56-63 -> components/athlete-scope/ScopedAthleteModuleView.tsx:67 monta N,L'admin perderebbe la capacita' di intervenire sul profilo nutrizionale di un singolo utente per supporto/QA. Nota: e' anche il canale con cui l'admin aggira qualunque semplificazione fatta lato atleta/coach.
